Date,Open,High,Low,Close,Volume,Name,MA_20,RSI_14,MACD,MACD_Signal,Market_Regime,Open_binned,High_binned,Low_binned,Close_binned,Volume_binned
2006-01-31,-0.4860525957804267,-0.4721366282982921,-0.4543399666523604,-0.4400283449591956,-0.17458519049408372,CAT,-0.7327360825257545,76.34359164303946,0.10813819629983212,0.07735728967152712,1,1,1,1,1,2
2006-02-01,-0.43107312050538193,-0.41384849615635233,-0.392133023934619,-0.37414470306447634,-0.5004077893749712,CAT,-0.7022952367263382,78.45916120111221,0.12109767833722918,0.08610536740466754,1,1,1,1,1,1
2006-02-02,-0.39900116218969506,-0.4257244408094234,-0.3877339413685351,-0.4157869793124334,-0.5945519911212093,CAT,-0.6781698886918476,72.41630129865028,0.1265491971748145,0.09419413335869693,1,1,1,1,1,1
2006-02-03,-0.42611909908798157,-0.4321744782321675,-0.39947780199085425,-0.4286280346086846,-1.129808853128015,CAT,-0.6546865934221696,70.872073911155,0.12835381638661403,0.10102606996428036,1,1,1,1,1,0
2006-02-06,-0.4113005018162003,-0.43963195328052074,-0.38724551391583,-0.40054014149699024,-1.010244430772967,CAT,-0.6331218433572513,70.63427425532431,0.13054559993312653,0.10692997595804961,1,1,1,1,1,0
2006-02-07,-0.42117233631155826,-0.4636055729990148,-0.4399189196540486,-0.4769713689744792,-0.4660964267602638,CAT,-0.6184184037978553,66.65529955308372,0.12467803214449036,0.11047958719533776,1,1,1,1,1,1
2006-02-08,-0.4484696661143764,-0.4361497776041541,-0.41865059386338893,-0.39514650568344317,-1.1075296241514208,CAT,-0.5989376666528932,69.56235903711631,0.12518744212083266,0.11342115818043674,1,1,1,1,1,0
2006-02-09,-0.3867464663559223,-0.39365519666040527,-0.3760314628043359,-0.4128305919608284,-0.8692967100912194,CAT,-0.5804236079350855,76.69685630585712,0.12274921864289545,0.11528677027292848,1,1,1,1,1,0
2006-02-10,-0.42859520113543076,-0.43714432375996376,-0.39800754632291013,-0.39808741906838196,-1.3474696996443376,CAT,-0.5635738515891638,76.70780470594715,0.12061617166279337,0.11635265055090147,1,1,1,1,1,0
2006-02-13,-0.42117233631155826,-0.427707774355277,-0.39311138966799763,-0.4044682128169513,-1.5684628781169845,CAT,-0.5473679720421419,75.50844399287317,0.11706142855413465,0.1164944061515481,1,1,1,1,1,0
2006-02-14,-0.3867464663559223,-0.36139692193209033,-0.3760314628043359,-0.32676343412995673,-0.6266571677553914,CAT,-0.5289720534754654,76.71613463429806,0.11914101184227754,0.117023727289694,1,1,1,1,1,1
2006-02-15,-0.3415455687907537,-0.30159997850250275,-0.2957238602625415,-0.26115216505213845,-0.6880020451662863,CAT,-0.5056003715402028,73.33403393742894,0.12464653005039467,0.11854828784183415,1,1,1,1,1,1
2006-02-16,-0.25291972183451755,-0.28490901703807875,-0.22567549814251256,-0.24424413203335119,-1.1564923973542909,CAT,-0.4818693728954397,68.56836262832067,0.1288882859237755,0.12061628745822242,1,1,1,1,1,0
2006-02-17,-0.24305818546283686,-0.266405826198002,-0.21082236374709937,-0.24003034054442302,-0.5248208835360841,CAT,-0.4531968270664152,72.02928161838959,0.13107892946558347,0.12270881585969463,1,1,1,1,1,1
2006-02-21,-0.24305818546283686,-0.24753145987156477,-0.21221202656836516,-0.21485760050998057,-0.9000305271343142,CAT,-0.4239851736152582,71.02031714217998,0.13330955048296028,0.12482896278434777,1,1,1,1,1,0
2006-02-22,-0.2155051262379396,-0.2035818540518888,-0.17260382254129475,-0.193099949667428,-0.2257252788567309,CAT,-0.39453954311535677,68.41668524209149,0.13527364393435126,0.12691789901434847,1,1,1,1,1,2
2006-02-23,-0.19325378645143076,-0.2334436268877335,-0.2020346436684855,-0.22602228637489002,-0.43962872314590784,CAT,-0.3687067606235892,69.65333544983389,0.13264460033203274,0.12806323927788532,1,1,1,1,1,1
2006-02-24,-0.21969362841989393,-0.24141961684878654,-0.20850755046305952,-0.20975278359203753,-1.5086084709720493,CAT,-0.3502756834316135,72.5104752311535,0.13037104103275682,0.12852479962885963,1,1,1,1,1,0
2006-02-27,-0.18264343467578084,-0.19152448427336946,-0.15161036599597486,-0.17285756600291352,-1.3159590181902918,CAT,-0.33599609905246314,72.9999213694179,0.13004726075088663,0.12882929185326503,1,1,1,1,1,0
2006-02-28,-0.1918679350163734,-0.22081392898893432,-0.17901956551131934,-0.19217719973458636,-0.66619797790855,CAT,-0.32137948797937843,82.52834588467428,0.12677039931212686,0.1284175133450374,1,1,1,1,1,1
2006-03-01,-0.1904826522134488,-0.14782609898877463,-0.15388584569583533,-0.1322806002702725,-0.7831713709827225,CAT,-0.3059921007449323,81.60653412439461,0.12753645712435857,0.12824130210090165,1,1,1,1,1,1
2006-03-02,-0.14417342236407327,-0.16248337506300561,-0.11496316325468346,-0.13454730301593637,-2.0379681526319158,CAT,-0.2940122307425054,84.75034283802714,0.12650241835794174,0.12789352535230966,1,1,1,1,1,0
2006-03-03,-0.1346240233586458,-0.12232582821757534,-0.10149209625257825,-0.1223251740983017,-1.2067948296845634,CAT,-0.27933914048179875,84.65366977842048,0.12522563566705108,0.12735994741525797,1,1,1,1,1,0
2006-03-06,-0.12193336257029178,-0.1505695648755965,-0.1744356276010654,-0.18572501238884428,-0.23849635792757512,CAT,-0.26719398937080674,74.03816725706761,0.11774069761919262,0.1254360974560449,1,1,1,1,1,2
2006-03-07,-0.19602719708659286,-0.19013597659771272,-0.1877465171160247,-0.1940229522354011,-0.4678597059551912,CAT,-0.2568681299077272,67.20772886529494,0.10987271166665291,0.12232342029816651,1,1,1,1,1,1
2006-03-08,-0.19464020698564077,-0.23531866017121433,-0.2748842669488122,-0.22369325909458554,0.44644907880454165,CAT,-0.24420422441373257,55.341154601097855,0.10008936244821359,0.11787660872817593,1,1,1,1,1,3
2006-03-09,-0.22295494864006937,-0.2602602417056278,-0.232194691870836,-0.2705822882594705,-0.3887012219537326,CAT,-0.23797601354253395,46.50990989230422,0.0875432903642237,0.1118099450553855,1,1,1,1,1,1
2006-03-10,-0.27367586665726923,-0.284433325493931,-0.2729962268325195,-0.2918970073938768,-0.06335689487481919,CAT,-0.2319293343141864,43.440696125399086,0.07501578289893177,0.10445111262409476,1,1,1,1,1,2
2006-03-13,-0.2689473434575286,-0.29682282716173236,-0.25370545055036375,-0.2895220394584092,-1.2043087713891532,CAT,-0.22650106533368772,39.989679256351074,0.0645353595873707,0.09646796201674995,1,1,1,1,1,0
2006-03-14,-0.29027804628660336,-0.2716145624700942,-0.24386803422388914,-0.24518124582712622,-0.8538803991276067,CAT,-0.21853671698419647,43.41005836593441,0.059125913355596194,0.0889995522845192,1,1,1,1,1,0
2006-03-15,-0.23790409172888996,-0.15881317168473205,-0.20018755658786463,-0.13681553082559195,-0.34539020055428954,CAT,-0.20903932181897825,59.44177703062986,0.06285850211024743,0.08377134224966484,1,1,1,1,1,1
2006-03-16,-0.10838895405653856,-0.12731984948507125,-0.08941467874072316,-0.10924687006369202,-0.12956146563526688,CAT,-0.20144405706955593,60.39065816111845,0.06726576820831381,0.08047022744139463,1,1,1,1,1,2
2006-03-17,-0.07922782300572141,-0.08397923823690405,-0.08629065277552461,-0.04990854281279699,0.25233932587957464,CAT,-0.1917272776085282,62.149556795886305,0.0746857347814194,0.0793133289093996,1,1,1,1,2,3
2006-03-20,-0.02165047904039542,-0.0500526620218062,-0.0340660457542593,-0.06675604516988409,-0.771449460029282,CAT,-0.18306356283980127,62.455048379442694,0.07830401911896906,0.07911146695131349,1,2,2,2,1,1
2006-03-21,-0.0649635713573877,-0.0875700832623774,-0.09790902105756165,-0.13590805656271698,-0.5994074950633788,CAT,-0.17911608564243808,49.63221985280214,0.0747301040117068,0.07823519436339216,1,1,1,1,1,1
2006-03-22,-0.16426970210970665,-0.07949596929121117,-0.08941467874072316,-0.05079315758503579,-1.0701622298873263,CAT,-0.17200074603831847,57.02596376201548,0.07786819546706614,0.07816179458412695,1,1,1,1,2,0
2006-03-23,-0.04279563194967143,-0.04561355177123802,-0.028800785026580615,-0.048582055729854495,-0.48020483839339145,CAT,-0.1631287345060667,56.29058725281035,0.07961581147931865,0.07845259796316528,1,2,2,2,2,1
2006-03-24,-0.04898799718698816,-0.07010016211744252,-0.05432723264328915,-0.08234832147538687,-0.7227635113303759,CAT,-0.15675851140023417,59.294034332327335,0.07738411836415413,0.07823890204336306,1,2,1,2,1,1
2006-03-27,-0.06585332364629481,-0.09251364993152134,-0.0605182963627832,-0.08771088921227171,-1.7612285947903001,CAT,-0.15250117756070208,59.60908165057438,0.07432598737623494,0.07745631910993744,1,1,1,1,1,0
