Date,Open,High,Low,Close,Volume,Name,MA_20,RSI_14,MACD,MACD_Signal,Market_Regime,Open_binned,High_binned,Low_binned,Close_binned,Volume_binned
2017-01-31,0.6315766925351115,0.6301665921043256,0.6331774353046158,0.6334226999598861,-1.314790631738124,MMM,0.6510595585977214,41.29313420072215,-0.0035152614619360367,-0.0016351478555553223,1,4,4,4,4,0
2017-02-01,0.6345659973247545,0.6325209514946705,0.6366015336819306,0.6358544190026623,-1.0959531594724183,MMM,0.6500682070867999,35.29807281748718,-0.004146648815467224,-0.002137448047537703,1,4,4,4,4,0
2017-02-02,0.6273234070860049,0.6254441557169028,0.6313566447611839,0.6289635109996651,-0.7675265654387805,MMM,0.6486401944967983,33.31962185284122,-0.005143772322712792,-0.0027387129025727213,1,4,4,4,4,1
2017-02-03,0.626554835759425,0.6290570792100116,0.6334573151553424,0.6349517767234154,-0.8689425696505642,MMM,0.6477199073005468,38.89654442228662,-0.005388679544754416,-0.00326870623100906,1,4,4,4,4,1
2017-02-06,0.6272535570309192,0.6352849634507163,0.633807074426178,0.635368464124745,-1.4499704192631149,MMM,0.6466428320867239,39.71833249278963,-0.005485908948302032,-0.0037121467744676544,1,4,4,4,4,0
2017-02-07,0.6408680772856816,0.636664617299517,0.6425185273392688,0.6399426249614502,-1.7264015470661427,MMM,0.6461227895955701,36.38573340596495,-0.005134678027375106,-0.003996653025049145,1,4,4,4,4,0
2017-02-08,0.6376864918553449,0.6449098335428478,0.6448772884664931,0.6489709799973614,-1.1564551413520754,MMM,0.6462912483334285,42.769897949798434,-0.0040807715989708004,-0.004013476739833477,1,4,4,4,4,0
2017-02-09,0.6463127591475373,0.6513978820687598,0.6544043961084652,0.6565688375725311,-1.2252300565395382,MMM,0.64639027075815,48.64862611844905,-0.002602460014036856,-0.0037312733946741525,1,4,4,4,4,0
2017-02-10,0.6561067566141316,0.6583934039985445,0.6634479795503215,0.6621513323483945,-1.6108124273421343,MMM,0.6469223934550362,51.79727581250651,-0.0009692538042442855,-0.0031788694765881795,1,4,4,4,4,0
2017-02-13,0.6667019318009513,0.6705228071226204,0.6707297358524895,0.6757949689161953,-1.2678695953572148,MMM,0.6481538304717345,70.14310966024841,0.0014097506026170548,-0.0022611454607471327,1,4,4,4,4,0
2017-02-14,0.6734454847066202,0.6746728586943923,0.6801245763891939,0.6796843227387147,-1.2114931841258403,MMM,0.6496243022671772,69.66136591377284,0.0035678392536340198,-0.0010953485178709023,1,4,4,4,4,0
2017-02-15,0.6696737024815167,0.6735363497712832,0.6767534881489194,0.6803536452878463,-1.3629218592287318,MMM,0.6507078691586043,69.67959598986756,0.005271383565288668,0.00017799789876101163,1,4,4,4,4,0
2017-02-16,0.6794159610354259,0.6843899821340182,0.6866379616678933,0.691742404247343,-1.1475012298016658,MMM,0.6522961970504093,71.97500372947792,0.007454501520587242,0.0016332986231262579,1,4,4,4,4,0
2017-02-17,0.6906068153084113,0.6853176946162145,0.6927169085621196,0.6886892351848537,-1.2507841890876523,MMM,0.6537965434366868,82.06682901734924,0.00883641234074417,0.0030739213666498406,1,4,4,4,4,0
2017-02-21,0.6863557650746752,0.6854501672202372,0.6894474052575742,0.69147721543983,-1.378878722246064,MMM,0.6554294774946493,87.08538384287436,0.010040809130828166,0.004467298919485507,1,4,4,4,4,0
2017-02-22,0.6904078788926142,0.7018966333116976,0.6963763206530018,0.7090528502471519,-0.8578320695264783,MMM,0.658812398092903,89.1832603061952,0.012272044616169486,0.006028248058822303,1,4,4,4,4,1
2017-02-23,0.7069407096687236,0.7106212317498714,0.7137243577545869,0.7165452943893498,-1.0380386611655215,MMM,0.6623079539526303,96.59678888275485,0.014477999077667336,0.007718198262591311,1,4,4,4,4,0
2017-02-24,0.7128796065623582,0.7167688836756492,0.7175823746862595,0.7179733851248071,-1.1659775960166918,MMM,0.665843964215803,96.42293881875503,0.01615524130329138,0.009405606870731324,1,4,4,4,4,0
2017-02-27,0.7172986089674598,0.7112049752704633,0.718104554735334,0.7147252949750107,-1.6097790922113395,MMM,0.6689910825264571,93.0061837971687,0.017026107749556707,0.0109297070464964,1,4,4,4,4,0
2017-02-28,0.7122935336399042,0.7108807079064788,0.7176476594537594,0.7110771024843545,-1.2666185488972634,MMM,0.6726655182362784,88.93377474855036,0.01722335690051513,0.012188437017300147,1,4,4,4,4,0
2017-03-01,0.7210551121484597,0.7304406513561963,0.7286954451968253,0.733764789750179,-1.1177436424972584,MMM,0.677682622725793,90.37566481021247,0.018991463260499608,0.013549042265940042,1,4,4,4,4,0
2017-03-02,0.7299466304955649,0.7276290039991877,0.7352762676301045,0.7339568884022208,-1.3622973898388253,MMM,0.682587746195771,89.64408588762188,0.020175628953408298,0.014874359603433694,1,4,4,4,4,0
2017-03-03,0.7324477148966568,0.7285243243526336,0.7321193357408776,0.7302375915044133,-1.4467700470440505,MMM,0.6876514502210084,85.55022413613693,0.020576776351122317,0.01601484295297142,1,4,4,4,4,0
2017-03-06,0.7265394559457522,0.7221146713681006,0.7303762940022541,0.7276015523089056,-1.420606794706983,MMM,0.6922839390002828,80.55163811410738,0.020446290116058585,0.016901132385588852,1,4,4,4,4,0
2017-03-07,0.7224123695558632,0.72224319604373,0.7302470803761593,0.7288238420631874,-1.4246805315149522,MMM,0.6969567078972051,79.91822010863879,0.02020855575142355,0.017562617058755794,1,4,4,4,4,0
2017-03-08,0.7316145914262362,0.7283325254705425,0.7348901444962127,0.7315213933052674,-1.4878680427943727,MMM,0.7015356463143958,80.40358404100701,0.020007188975064483,0.018051531442017533,1,4,4,4,4,0
