Date,Open,High,Low,Close,Volume,Name,MA_20,RSI_14,MACD,MACD_Signal,Market_Regime,Open_binned,High_binned,Low_binned,Close_binned,Volume_binned
2006-03-16,-1.480500547148867,-1.4731692625728334,-1.4587125959458993,-1.4615246531262351,0.4331167671437216,NKE,-1.4671118928215896,41.41877974290724,0.0015135547406444072,0.003635613680547464,1,0,0,0,0,3
2006-03-17,-1.4644823392594009,-1.4843088556266135,-1.452309198650313,-1.47269258827282,0.23438759371210413,NKE,-1.4664692259985075,37.6839884973364,0.0015178782961988713,0.0032120666036777458,0,0,0,0,0,3
2006-03-20,-1.480500547148867,-1.4779345151551442,-1.4603172137478322,-1.4710926951259249,0.870240296368841,NKE,-1.465827162623563,40.919518706463826,0.0016315947426539523,0.0028959722314729876,1,0,0,0,0,4
2006-03-21,-1.4692720582558894,-1.4923102495457738,-1.4635309914342851,-1.4823235190840176,1.364236109637751,NKE,-1.4659879797636088,40.41617177377795,0.0008061889676622691,0.002478015578710844,0,0,0,0,0,4
2006-03-22,-1.4821106558530999,-1.458952450928667,-1.4683630561351129,-1.4456959685590607,2.826685208112098,NKE,-1.4651169975671254,54.04609011016011,0.0030721720750850334,0.0025968468779856823,1,0,0,0,0,4
2006-03-23,-1.4454565737265779,-1.4605262882414243,-1.4379889693608232,-1.4615246531262351,1.7878301996141905,NKE,-1.4656717700303326,48.249050761111874,0.0035498173695580615,0.0027874409763001583,0,0,0,0,0,4
2006-03-24,-1.4581168559912072,-1.4684172162379738,-1.4475223992100454,-1.4631156124887308,0.4439373919017846,NKE,-1.4669357381445214,44.55906155735712,0.0037566729944926713,0.002981287379938661,1,0,0,0,0,3
2006-03-27,-1.4628887444776035,-1.485906150207337,-1.4571094883712878,-1.47269258827282,-0.423047309857348,NKE,-1.4687569358757342,53.81222743279852,0.003111953002824519,0.0030074205045158326,0,0,0,0,0,1
2006-03-28,-1.4740752378260698,-1.485906150207337,-1.4619233446252256,-1.4775012713301763,-0.35533965978423165,NKE,-1.4703472010142902,51.573331245859315,0.0021877680018957957,0.0028434900039918257,1,0,0,0,0,1
2006-03-29,-1.4772848730762524,-1.4923102495457738,-1.4587125959458993,-1.4710926951259249,-0.8459307093171692,NKE,-1.4711430567225112,51.03998363035984,0.0019499850573261313,0.002664789014658687,0,0,0,0,0,0
2006-03-30,-1.461296634179764,-1.4843088556266135,-1.4651401570393103,-1.4823235190840176,0.352383291214021,NKE,-1.472262474024875,49.95345149396328,0.000845559641905469,0.0023009431401080434,1,0,0,0,0,3
2006-03-31,-1.480500547148867,-1.4987383567878985,-1.4651401570393103,-1.4791071762830978,-0.3374262651593784,NKE,-1.4734590537909549,54.4339160270699,0.0002272074214426656,0.001886195996374968,0,0,0,0,0,1
2006-04-03,-1.4772848730762524,-1.485906150207337,-1.4651401570393103,-1.483933962624817,0.3363955719214453,NKE,-1.4754496953573766,51.61523395917808,-0.0006448886124068576,0.0013799790746186029,1,0,0,0,0,3
2006-04-04,-1.4821106558530999,-1.4987383567878985,-1.478068504945965,-1.4807145912535837,-0.5467011420465532,NKE,-1.475288726788815,49.95023579147584,-0.0010639896279751593,0.0008911853340998505,0,0,0,0,0,1
2006-04-05,-1.4821106558530999,-1.5003491559621662,-1.4732088678249242,-1.4903909511828657,-0.5279382051960808,NKE,-1.4756920983937571,38.94153649394998,-0.002152123242759485,0.0002825236187279834,1,0,0,0,0,1
